asn=0    	id=-1  	Main	copying configuration file E:\tsch-sim-tegveer\examples\7_nodes_topology\config.json to output directory E:\tsch-sim-tegveer\results\2023-08-15_00-00-05\config.json[MAIN]
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	Orchestra: initializing Orchestra infrastructure
asn=0    	id=-1  	Main	creating 1 "root" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 1 "intermediate2" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 1 "intermediate3" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 1 "leaf1" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 2 "leaf2" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	creating 1 "leaf3" nodes...[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=1 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=1 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=3 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=5 for=1 period=3 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=6 for=1 period=3 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=7 for=1 period=3 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	warning: no connections defined for node type "root"[SIMULATOR]
asn=0    	id=-1  	Main	warning: no connections defined for node type "intermediate2"[SIMULATOR]
asn=0    	id=-1  	Main	warning: no connections defined for node type "intermediate3"[SIMULATOR]
asn=0    	id=-1  	Main	warning: no connections defined for node type "leaf1"[SIMULATOR]
asn=0    	id=-1  	Main	warning: no connections defined for node type "leaf2"[SIMULATOR]
asn=0    	id=-1  	Main	warning: no connections defined for node type "leaf3"[SIMULATOR]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Orchestra: *** initializing
asn=0    	id=1   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=1   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=1   	Node	Slotframe number 2 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 3 in slotframe: 2
asn=0    	id=1   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=1   	Node	Slotframe number 3 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 1 in slotframe: 3
asn=0    	id=1   	TSCH	Orchestra: initialization done
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=2   	TSCH	Orchestra: *** initializing
asn=0    	id=2   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 2 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=2   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=2   	Node	Slotframe number 2 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 2 channel offset: 4 in slotframe: 2
asn=0    	id=2   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=2   	Node	Slotframe number 3 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 1 in slotframe: 3
asn=0    	id=2   	TSCH	Orchestra: initialization done
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Node	scanning on channel=25...[NODE]
asn=0    	id=3   	TSCH	Orchestra: *** initializing
asn=0    	id=3   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=3   	Node	Slotframe number 1 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 3 channel offset: 0 in slotframe: 1
asn=0    	id=3   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=3   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=3   	Node	Slotframe number 2 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 3 channel offset: 5 in slotframe: 2
asn=0    	id=3   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=3   	Node	Slotframe number 3 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 0 channel offset: 1 in slotframe: 3
asn=0    	id=3   	TSCH	Orchestra: initialization done
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Node	scanning on channel=25...[NODE]
asn=0    	id=4   	TSCH	Orchestra: *** initializing
asn=0    	id=4   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=4   	Node	Slotframe number 1 added from node: 4 [NODE]
asn=0    	id=4   	Node	Add cell in timeslot: 4 channel offset: 0 in slotframe: 1
asn=0    	id=4   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=4   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=4   	Node	Slotframe number 2 added from node: 4 [NODE]
asn=0    	id=4   	Node	Add cell in timeslot: 4 channel offset: 6 in slotframe: 2
asn=0    	id=4   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=4   	Node	Slotframe number 3 added from node: 4 [NODE]
asn=0    	id=4   	Node	Add cell in timeslot: 0 channel offset: 1 in slotframe: 3
asn=0    	id=4   	TSCH	Orchestra: initialization done
asn=0    	id=4   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=4   	Node	update time source called [NODE]
asn=0    	id=4   	Node	scanning on channel=25...[NODE]
asn=0    	id=5   	TSCH	Orchestra: *** initializing
asn=0    	id=5   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=5   	Node	Slotframe number 1 added from node: 5 [NODE]
